playerDefensiveAbilityId,birthId,organizationId,tackles,tacklesWon,cards_yellow,cards_red
545,558,30,62,36,5,0
486,457,30,20,12,0,0
475,110,30,24,17,4,0
460,88,30,8,6,0,0
282,417,30,18,10,5,0
223,186,30,30,16,3,0
179,248,30,22,12,3,0
177,308,30,17,11,0,0
939,246,31,24,20,1,0
924,95,31,87,57,8,0
746,164,31,1,1,0,0
653,246,31,55,31,4,0
590,403,31,20,12,3,0
401,403,31,51,26,6,0
315,304,31,8,5,0,0
245,246,31,39,27,7,0
234,38,31,53,28,5,0
220,199,31,0,0,0,0
219,199,31,0,0,0,0
153,382,31,19,16,6,0
1064,427,32,18,14,3,0
1056,578,32,5,3,0,0
1055,578,32,5,3,0,0
808,68,32,25,17,9,1
785,262,32,17,14,1,0
784,262,32,0,0,1,0
765,116,32,15,8,3,0
658,518,32,3,2,0,0
588,265,32,47,27,8,0
571,588,32,2,1,1,0
422,509,32,25,16,6,0
171,358,32,25,20,3,0
133,50,32,69,38,11,0
14,429,32,23,16,6,0
1050,604,33,11,6,2,0
438,480,33,18,14,2,0
262,425,33,41,29,9,1
198,277,33,62,31,4,0
1093,547,34,8,6,0,0
882,514,34,5,3,1,0
881,514,34,7,5,1,0
751,31,34,57,46,2,0
649,273,34,15,9,1,0
648,273,34,5,3,1,0
642,667,34,49,25,4,0
442,529,34,56,35,4,1
320,349,34,56,39,5,0
265,326,34,70,38,4,0
215,639,34,95,56,9,0
154,44,34,29,18,4,1
102,664,34,25,12,3,0
28,82,34,51,32,3,0
3,381,34,48,28,3,1
1116,202,35,4,3,0,0
1112,83,35,0,0,1,0
1111,83,35,0,0,1,0
1091,449,35,27,20,1,0
1065,73,35,37,29,0,0
1015,35,35,21,13,1,0
998,479,35,30,20,1,0
980,629,35,6,2,1,0
896,577,35,58,25,5,0
866,590,35,50,35,3,0
775,361,35,13,9,0,0
656,535,35,20,12,1,0
621,654,35,65,36,2,0
516,666,35,77,53,6,0
500,475,35,0,0,0,1
499,625,35,26,15,7,0
427,502,35,1,0,0,0
343,577,35,3,2,0,0
324,632,35,37,26,0,0
270,187,35,15,10,1,0
228,639,35,23,14,1,0
195,402,35,17,10,4,0
189,372,35,60,32,2,0
1105,108,36,16,12,3,0
1052,139,36,57,36,10,1
1051,223,36,36,26,3,1
953,409,36,12,10,3,0
771,412,36,49,30,7,0
708,603,36,8,6,1,0
707,603,36,6,4,1,0
703,52,36,13,10,2,0
702,52,36,27,17,2,0
645,222,36,17,9,4,0
625,366,36,5,3,3,0
581,643,36,43,28,12,0
353,485,36,13,7,2,0
352,485,36,18,11,2,0
299,166,36,3,1,0,0
298,166,36,25,18,0,0
294,84,36,66,39,9,0
26,306,36,74,46,10,0
0,272,36,17,10,1,0
1005,345,37,23,17,0,0
1004,345,37,14,10,0,0
970,489,37,21,13,6,0
969,489,37,45,28,6,0
959,276,37,61,41,7,1
934,308,37,8,5,0,0
889,494,37,55,36,3,0
867,561,37,34,17,2,0
862,497,37,8,3,2,0
723,235,37,10,7,3,0
655,367,37,12,8,2,0
561,214,37,23,20,5,0
531,564,37,0,0,0,0
488,495,37,16,7,2,0
412,487,37,1,1,1,0
411,487,37,12,8,1,0
193,460,37,31,23,1,0
191,466,37,22,17,3,0
149,635,37,62,43,5,0
146,185,37,4,3,1,0
47,672,37,37,25,8,0
843,246,38,34,23,4,1
829,546,38,13,10,7,0
796,45,38,65,37,11,0
795,45,38,65,37,11,0
772,388,38,34,23,3,0
554,76,38,38,27,6,0
440,76,38,17,13,3,0
408,388,38,0,0,2,1
385,76,38,23,15,0,0
379,100,38,4,2,0,0
263,70,38,55,31,10,0
226,546,38,58,32,10,0
151,620,38,74,43,11,0
134,620,38,11,5,1,0
1148,273,39,50,36,5,0
845,649,39,86,48,7,0
754,630,39,14,10,3,0
727,1,39,32,16,8,0
540,6,39,15,10,2,0
530,408,39,42,29,3,0
494,392,39,19,13,0,0
479,434,39,45,34,4,0
380,179,39,43,27,6,1
342,577,39,48,29,7,0
159,508,39,11,9,1,0
112,273,39,122,89,6,0
600,438,40,31,21,12,0
92,371,40,35,25,4,0
1115,421,41,7,2,5,2
925,11,41,17,12,1,0
923,409,41,0,0,0,0
631,241,41,67,45,14,0
610,452,41,48,29,3,0
526,111,41,22,16,6,0
512,139,41,2,2,3,0
509,533,41,20,12,5,0
236,487,41,38,27,10,0
212,21,41,30,11,4,0
142,472,41,16,10,1,0
1071,23,42,41,25,6,0
977,631,42,0,0,5,0
976,631,42,40,28,5,0
839,449,42,48,32,4,0
828,147,42,4,2,3,0
804,14,42,36,23,3,0
761,487,42,0,0,0,0
739,190,42,5,3,2,0
738,190,42,13,7,2,0
652,242,42,15,11,8,0
555,51,42,15,10,0,0
521,62,42,7,3,0,0
489,397,42,4,2,2,0
392,628,42,55,35,16,1
325,612,42,19,12,6,1
314,487,42,32,20,8,1
313,341,42,45,25,6,0
197,566,42,0,0,0,0
139,358,42,0,0,3,0
99,302,42,12,7,2,0
91,184,42,25,14,7,1
1144,544,43,25,16,4,0
1128,140,43,15,8,0,0
1023,636,43,57,37,5,0
964,273,43,17,14,2,0
962,554,43,16,7,1,0
733,80,43,2,2,0,0
732,80,43,4,2,0,0
720,419,43,25,18,5,0
719,419,43,10,4,5,0
704,171,43,17,12,1,0
683,209,43,50,35,0,0
560,227,43,44,23,2,0
410,148,43,42,31,4,0
345,96,43,42,36,3,0
221,647,43,32,22,1,0
