assists,dribbles,sca,sca90,pass_targets,miscontrols,dispossessed,fouled,fbrefId,playerFullName,ca,vis,ldr,pas,dri,agi,cnt,city,country,position,squad,comp,id
2,16,27,0.71,832,14,5,32,15ea812b,James Tarkowski,136,9,13,14,10,10,14,Manchester,England,"DF (CB, right)",Burnley,1. Premier League,82
5,54,45,4.69,621,25,29,18,15f3ec41,Callum Hudson-Odoi,145,14,6,15,15,15,11,Wandsworth,England,FW-MF,Chelsea,1. Premier League,83
6,96,141,4.5,1808,49,58,79,162efffd,Rodrigo De Paul,148,15,13,16,16,14,11,Sarandí,Argentina,FW-MF (CM-WM),Udinese,1. Serie A,84
3,17,42,2.34,985,11,16,9,16657b95,Bryan Cristante,146,13,11,16,12,11,13,San Vito al Tagliamento,Italy,DF-MF (DM),Roma,1. Serie A,85
4,120,91,3.54,1060,61,75,78,16aa3654,Takefusa Kubo,125,15,7,15,15,13,13,Kanagawa,Japan,FW-MF,Mallorca,1. La Liga,86
0,3,20,1.81,541,18,6,11,16ceb862,Olivier Giroud,150,13,9,12,12,10,14,Chambéry,France,FW,Chelsea,1. Premier League,87
2,23,47,1.62,998,16,10,41,173061c0,Riccardo Gagliolo,134,8,9,13,9,14,13,Porto Maurizio,Italy,"DF (CB-FB, left)",Parma,1. Serie A,88
0,2,18,1.72,220,6,4,14,174651c8,David Timor,125,15,7,15,13,10,11,Carcaixent,Spain,MF (AM-CM),Getafe,1. La Liga,89
1,88,72,2.64,916,35,34,19,1770bd68,Ken Sema,130,12,8,11,15,13,12,Norrköping,Sweden,"DF-FW-MF (WM, left)",Udinese,1. Serie A,90
1,133,91,3.59,1293,65,72,74,178ae8f8,Diogo Jota,147,12,6,13,16,16,10,Massarelos,Portugal,FW-MF,Wolves,1. Premier League,91
0,0,1,0.03,575,0,0,4,1840e36d,Thibaut Courtois,162,10,11,13,10,12,14,Bree,Belgium,GK,Real Madrid,1. La Liga,92
0,41,48,4.95,449,20,17,16,1880614f,Cengiz Ünder,144,11,5,12,15,16,12,Sındırgı,Turkey,"FW-MF (AM, right)",Roma,1. Serie A,93
1,15,13,0.47,954,5,8,17,18abe173,Joseph Aidoo,131,9,11,11,5,15,13,Accra,Ghana,"DF (CB, right)",Celta Vigo,1. La Liga,94
0,0,9,0.47,1201,2,5,9,18b896d6,Antonio Rüdiger,156,10,15,12,10,11,12,Land Berlin,Germany,DF (CB),Chelsea,1. Premier League,95
0,5,6,0.36,580,3,4,11,1900032e,Jannik Vestergaard,128,9,14,11,8,7,12,Copenhagen,Denmark,"DF (CB, left)",Southampton,1. Premier League,96
1,35,29,1.79,763,15,25,23,1961b2aa,André Gomes,146,15,9,17,14,11,11,Grijó,Portugal,MF (CM),Everton,1. Premier League,97
2,25,45,2.29,994,19,9,10,197640fd,Timothy Castagne,142,10,10,13,13,14,14,Arlon,Belgium,"DF-MF (DM-FB, right)",Atalanta,1. Serie A,98
0,7,6,3.18,99,7,9,8,19b776e9,Rubén Sobrino,128,10,8,9,9,10,13,Daimiel,Spain,FW,Valencia,1. La Liga,99
1,6,10,0.41,835,11,7,27,19e4eab9,Rodrigo Becão,132,7,15,10,7,11,16,Salvador,Brazil,"DF (CB, right)",Udinese,1. Serie A,100
1,8,20,0.95,520,6,7,15,1ae30132,Phil Bardsley,123,6,17,11,10,12,15,Salford,England,"DF (FB, right)",Burnley,1. Premier League,101
