id,player,games,minutes
154,Pere Pons,30,1088
155,Joan Jordán,34,2254
156,Marten de Roon,35,2721
157,Lukas Kübler,5,209
158,Moussa Sissoko,29,2452
159,Tyler Adams,14,953
160,Allan Saint-Maximin,26,1863
161,Lucas Moura,35,2242
162,Ciaran Clark,14,1186
163,Axel Tuanzebe,5,189
164,Eric García,13,793
165,Ronald Araújo,6,238
166,Jamal Musiala,1,3
167,Alexis Sánchez,22,923
168,Jerdy Schouten,19,1082
169,Ozan Kabak,26,1777
170,Robin Gosens,34,2617
171,Jérôme Boateng,24,1796
172,Andrew Robertson,36,3111
173,Marwin Hitz,4,290
174,Elseid Hysaj,20,1481
175,Aarón Martín,22,1792
176,Lorenzo Insigne,37,2810
177,Harry Winks,31,2221
178,James Milner,22,937
179,Alphonse Areola,4,360
180,Antonio Mirante,5,450
181,José Ángel,28,2360
182,Philipp Lienhart,22,1817
183,Angeliño,13,1095
184,Mitchell Weiser,18,1172
185,Sergi Guardiola,35,2655
186,Cristiano Piccini,2,75
187,Morgan Gibbs-White,7,129
188,Jeffrey Schlupp,17,1036
189,Sergio Reguilón,31,2509
190,Sergi Roberto,30,2339
191,Karim Rekik,14,1260
192,Carlos Clerc,23,1848
193,Valerio Verre,32,1774
194,Giovanni Simeone,37,2924
195,Nico Schlotterbeck,13,373
196,Guido Rodríguez,14,936
197,James Ward-Prowse,38,3420
198,Antonio Candreva,32,1993
199,Domenico Criscito,26,2053
200,Víctor Díaz,36,2884
201,Javi Martínez,1,10
202,Javi Martínez,1,10
203,Marco Reus,19,1495
204,Jonjo Shelvey,26,2119
205,Álex Remiro,25,2250
206,Hugo Duro,12,378
207,Ander Capa,35,2872
208,Dennis Geiger,21,1136
209,Alex Oxlade-Chamberlain,30,1485
210,Leandro Trossard,31,2011
211,Gonzalo Melero,25,1236
212,Gerard Deulofeu,28,2098
213,Leon Bailey,22,1090
214,Ross Barkley,21,1103
215,Nacho Vidal,30,2332
216,Hans Hateboer,32,2356
217,Luca Pellegrini,24,1908
218,Rodrigo Bentancur,30,2196
219,Edimilson Fernandes,24,1484
220,Thomas Müller,33,2255
221,Pedro,11,661
222,Tommaso Augello,17,1135
223,Ferland Mendy,25,1809
224,David García,32,2793
225,Harvey Barnes,36,2083
226,Alessio Romagnoli,35,3091
227,Bernardo Silva,34,2030
228,Martín Zubimendi,9,524
229,Fredrik Jensen,10,457
230,Samuel Umtiti,13,949
231,André Silva,1,60
232,André Silva,1,60
233,André Silva,25,1575
234,André Silva,25,1575
235,Jesús Navas,38,3369
236,Shkodran Mustafi,15,1207
237,Gonzalo Escalante,23,1674
238,Iñigo Martínez,33,2970
239,Brahim Díaz,6,65
240,Jan Bednarek,34,3057
241,Mathías Olivera,24,1870
242,Fernando,34,2659
243,Christoph Baumgartner,26,1493
244,Divock Origi,28,717
245,Jorge Molina,34,1886
246,Jon Pacheco,1,77
247,Ridle Baku,30,2351
248,Ciro Immobile,37,3170
249,Andrea Favilli,20,658
250,Demarai Gray,21,622
251,Ben Davies,18,1431
252,Ben Davies,18,1431
253,Matías Vecino,20,1282
254,Rúben Neves,38,3056
255,Danilo D'Ambrosio,22,1402
256,Jamaal Lascelles,24,2076
257,Mathew Ryan,38,3420
258,Jamie Vardy,35,3033
259,Benjamin Pavard,32,2790
260,Marco Asensio,9,336
261,Joaquín Correa,30,2002
262,Jorginho,31,2379
263,Dimitri Foulquier,3,59
264,Dimitri Foulquier,17,1119
265,Jordi Alba,27,2187
266,Erick Pulgar,37,2950
267,Kevin Agudelo,10,666
268,Kevin Agudelo,3,64
269,Josh Brownhill,10,805
270,Adnan Januzaj,24,1167
271,Sergio Postigo,28,2374
272,Jordan Pickford,38,3420
273,Antonio Barragán,12,641
274,Ruslan Malinovskyi,34,1535
275,Pablo Piatti,3,56
276,Joshua Kimmich,33,2818
277,Kevin Mbabu,20,1696
278,Dani Carvajal,31,2738
279,Ashley Westwood,35,3150
280,Timo Werner,34,2795
281,Jordan Veretout,33,2629
282,Lorenzo Pellegrini,27,2097
283,Unai García,8,536
284,Jay Rodriguez,36,2016
285,Edoardo Goldaniga,13,784
286,Amir Rrahmani,36,3228
287,Oriol Romeu,30,1860
288,Neal Maupay,37,2766
289,Raúl Albiol,36,3237
290,Maxi Gómez,33,2143
291,Roberto Firmino,38,2988
292,Justin Kluivert,22,1514
293,Joaquín,34,2060
294,Joaquín,34,2060
295,Djibril Sow,29,1746
296,Lucas Leiva,25,1808
297,Sergio Agüero,24,1452
298,Jules Koundé,29,2309
299,Casemiro,35,3088
300,Thomas Lemar,22,925
301,Suso,17,785
302,Suso,16,1359
303,Chris Wood,32,2437
304,Clément Lenglet,28,2424
305,Federico Peluso,23,1513
306,Aaron Cresswell,31,2727
307,Curtis Jones,6,126
308,Bruno Fernandes,14,1186
309,Thorgan Hazard,33,2380
310,Jean-Philippe Mateta,18,1053
311,Felipe,25,2102
312,Lucas Torreira,29,1512
313,Benjamin Mendy,19,1492
314,Alfred Duncan,13,843
315,Alfred Duncan,13,887
316,Luis Alberto,36,3113
317,Thomas Partey,35,2549
318,Leonardo Bonucci,35,3082
319,Paulinho,13,304
320,Pau Torres,34,2971
321,Andrea Ranocchia,7,526
322,Domenico Berardi,31,2493
323,Kasper Schmeichel,38,3420
324,César Azpilicueta,36,3229
325,Ádám Szalai,27,1147
326,Kerem Demirbay,25,1573
327,Vincenzo Grifo,1,15
328,Vincenzo Grifo,26,1618
329,Gianluca Caprari,18,667
330,Gianluca Caprari,12,589
331,Koke,32,2698
332,Nadiem Amiri,30,1857
333,Mario Hermoso,17,1217
334,Gary Medel,23,1784
335,Charles Aránguiz,27,2118
336,Youri Tielemans,37,2828
337,Asier Villalibre,19,531
338,Arthur Masuaku,17,937
339,Nicolas Pépé,31,2010
340,Mads Pedersen,2,96
341,Mauro Arambarri,35,3069
342,Mason Greenwood,31,1320
343,Iñigo Lekue,14,623
344,Rani Khedira,32,2649
345,Dominic Calvert-Lewin,36,2626
346,Sofyan Amrabat,34,2919
347,Kevin Long,8,564
348,Moi Gómez,37,2319
349,Leander Dendoncker,38,2795
350,Gianluca Mancini,32,2740
351,Juraj Kucka,26,1932
352,Sergio Busquets,33,2483
353,Francesco Caputo,36,2931
354,Serge Aurier,33,2700
355,Lukáš Haraslín,11,384
356,Robin Zentner,22,1935
357,Mariano,5,45
358,Igor Zubeldia,33,2640
359,Rubén García,30,2188
360,Tyrick Mitchell,4,195
361,Tanguy Ndombele,21,1009
362,Asier Illarramendi,3,216
363,Martín Montoya,27,1896
364,Patrik Schick,22,1298
365,Nicolas Höfler,32,2783
366,Danny da Costa,19,1389
367,Axel Witsel,28,2245
368,Matteo Politano,15,743
369,Matteo Politano,11,259
370,Romelu Lukaku,36,2979
371,Ibrahima Konaté,8,569
