player,squad,comp,id
Jonathan Burkardt,Mainz 05,1. Bundesliga,698
Willi Orban,RB Leipzig,1. Bundesliga,699
Kurt Zouma,Chelsea,1. Premier League,700
Giovanni Simeone,Cagliari,1. Serie A,701
Xherdan Shaqiri,Liverpool,1. Premier League,702
Milot Rashica,Werder Bremen,1. Bundesliga,703
Mattia Destro,Genoa,1. Serie A,704
Mahmoud Dahoud,Dortmund,1. Bundesliga,705
James Maddison,Leicester City,1. Premier League,706
Albin Ekdal,Sampdoria,1. Serie A,707
Mohammed Salisu,Valladolid,1. La Liga,708
Rubén García,Osasuna,1. La Liga,709
Goran Pandev,Genoa,1. Serie A,710
Jamaal Lascelles,Newcastle Utd,1. Premier League,711
Dimitri Foulquier,Watford,1. Premier League,712
Mason Mount,Chelsea,1. Premier League,713
Carles Pérez,Barcelona,1. La Liga,714
Roberto Gagliardini,Inter,1. Serie A,715
Pervis Estupiñán,Osasuna,1. La Liga,716
Gabriele Corbo,Bologna,1. Serie A,717
Marcus Ingvartsen,Union Berlin,1. Bundesliga,718
Jerdy Schouten,Bologna,1. Serie A,719
César Azpilicueta,Chelsea,1. Premier League,720
Ihlas Bebou,Hoffenheim,1. Bundesliga,721
Jorginho,Chelsea,1. Premier League,722
Andreas Christensen,Chelsea,1. Premier League,723
Rodrigo,Valencia,1. La Liga,724
Harry Kane,Tottenham,1. Premier League,725
Axel Tuanzebe,Manchester Utd,1. Premier League,726
Carlos Clerc,Levante,1. La Liga,727
Phil Foden,Manchester City,1. Premier League,728
Jens Stryger Larsen,Udinese,1. Serie A,729
José Ángel,Eibar,1. La Liga,730
Remo Freuler,Atalanta,1. Serie A,731
Víctor Camarasa,Alavés,1. La Liga,732
Dele Alli,Tottenham,1. Premier League,733
Conor Coady,Wolves,1. Premier League,734
Aarón Martín,Mainz 05,1. Bundesliga,735
Dries Mertens,Napoli,1. Serie A,736
Kyle Walker-Peters,Tottenham,1. Premier League,737
Trent Alexander-Arnold,Liverpool,1. Premier League,738
Giorgio Chiellini,Juventus,1. Serie A,739
Tomás Rincón,Torino,1. Serie A,740
Lorenzo Insigne,Napoli,1. Serie A,741
Mathías Olivera,Getafe,1. La Liga,742
Koffi Djidji,Torino,1. Serie A,743
Iker Muniain,Athletic Club,1. La Liga,744
Granit Xhaka,Arsenal,1. Premier League,745
Erick Cabaco,Getafe,1. La Liga,746
Philippe Coutinho,Bayern Munich,1. Bundesliga,747
Dominic Calvert-Lewin,Everton,1. Premier League,748
Lukas Klünter,Hertha BSC,1. Bundesliga,749
Mikel Vesga,Athletic Club,1. La Liga,750
Marvin Friedrich,Union Berlin,1. Bundesliga,751
Leon Goretzka,Bayern Munich,1. Bundesliga,752
Aritz Elustondo,Real Sociedad,1. La Liga,753
Nils Petersen,Freiburg,1. Bundesliga,754
Luca Ceppitelli,Cagliari,1. Serie A,755
Maximilian Mittelstädt,Hertha BSC,1. Bundesliga,756
Chris Smalling,Roma,1. Serie A,757
Christian Günter,Freiburg,1. Bundesliga,758
Lukas Klostermann,RB Leipzig,1. Bundesliga,759
Davinson Sánchez,Tottenham,1. Premier League,760
Ryan Bertrand,Southampton,1. Premier League,761
Kevin Akpoguma,Hoffenheim,1. Bundesliga,762
Lorenzo Venuti,Fiorentina,1. Serie A,763
Francesco Acerbi,Lazio,1. Serie A,764
Nicolò Rovella,Genoa,1. Serie A,765
Gian Marco Ferrari,Sassuolo,1. Serie A,766
Joël Matip,Liverpool,1. Premier League,767
João Cancelo,Manchester City,1. Premier League,768
Jesús Navas,Sevilla,1. La Liga,769
Youri Tielemans,Leicester City,1. Premier League,770
Paul Pogba,Manchester Utd,1. Premier League,771
Luis Alberto,Lazio,1. Serie A,772
Grischa Prömel,Union Berlin,1. Bundesliga,773
Takefusa Kubo,Mallorca,1. La Liga,774
Pablo Piatti,Espanyol,1. La Liga,775
Thorgan Hazard,Dortmund,1. Bundesliga,776
Iñaki Williams,Athletic Club,1. La Liga,777
Kevin Möhwald,Werder Bremen,1. Bundesliga,778
Andreas Skov Olsen,Bologna,1. Serie A,779
Lucas Vázquez,Real Madrid,1. La Liga,780
David Timor,Getafe,1. La Liga,781
Enis Bardhi,Levante,1. La Liga,782
Danny Welbeck,Watford,1. Premier League,783
Erick Cabaco,Levante,1. La Liga,784
Robert Lewandowski,Bayern Munich,1. Bundesliga,785
Nicolò Zaniolo,Roma,1. Serie A,786
Andros Townsend,Crystal Palace,1. Premier League,787
Mikel Balenziaga,Athletic Club,1. La Liga,788
Josh Brownhill,Burnley,1. Premier League,789
Borja Mayoral,Levante,1. La Liga,790
Coke,Levante,1. La Liga,791
Gastón Pereiro,Cagliari,1. Serie A,792
Anthony Martial,Manchester Utd,1. Premier League,793
Emil Forsberg,RB Leipzig,1. Bundesliga,794
Ellyes Skhiri,Köln,1. Bundesliga,795
Alex Iwobi,Everton,1. Premier League,796
