player,squad,comp,id
Angeliño,RB Leipzig,1. Bundesliga,389
Raphaël Varane,Real Madrid,1. La Liga,390
Fredrik Jensen,Augsburg,1. Bundesliga,391
Juraj Kucka,Parma,1. Serie A,392
Berat Djimsiti,Atalanta,1. Serie A,393
Mário Rui,Napoli,1. Serie A,394
Álvaro Morata,Atlético Madrid,1. La Liga,395
Lorenzo Pellegrini,Roma,1. Serie A,396
Francesco Caputo,Sassuolo,1. Serie A,397
Pere Pons,Alavés,1. La Liga,398
Javi Martínez,Osasuna,1. La Liga,399
Dennis Geiger,Hoffenheim,1. Bundesliga,400
Dwight Gayle,Newcastle Utd,1. Premier League,401
Unai García,Osasuna,1. La Liga,402
Josip Brekalo,Wolfsburg,1. Bundesliga,403
Giovani Lo Celso,Tottenham,1. Premier League,404
Domenico Criscito,Genoa,1. Serie A,405
Riccardo Sottil,Fiorentina,1. Serie A,406
Merih Demiral,Juventus,1. Serie A,407
Milan Badelj,Fiorentina,1. Serie A,408
Pascal Groß,Brighton,1. Premier League,409
Federico Dimarco,Inter,1. Serie A,410
Ludwig Augustinsson,Werder Bremen,1. Bundesliga,411
Christian Oliva,Cagliari,1. Serie A,412
Fernandinho,Manchester City,1. Premier League,413
Daniele Rugani,Juventus,1. Serie A,414
Gonzalo Melero,Levante,1. La Liga,415
Benjamin Pavard,Bayern Munich,1. Bundesliga,416
Axel Witsel,Dortmund,1. Bundesliga,417
Che Adams,Southampton,1. Premier League,418
Juan Jesus,Roma,1. Serie A,419
Andrea Masiello,Genoa,1. Serie A,420
Luis Suárez,Barcelona,1. La Liga,421
Bastian Oczipka,Schalke 04,1. Bundesliga,422
Lionel Messi,Barcelona,1. La Liga,423
Martín Cáceres,Fiorentina,1. Serie A,424
Demarai Gray,Leicester City,1. Premier League,425
Makoto Hasebe,Eint Frankfurt,1. Bundesliga,426
Patrick Cutrone,Wolves,1. Premier League,427
Billy Gilmour,Chelsea,1. Premier League,428
Vincenzo Grifo,Freiburg,1. Bundesliga,429
Håvard Nordtveit,Hoffenheim,1. Bundesliga,430
Niko Gießelmann,Düsseldorf,1. Bundesliga,431
Mark Flekken,Freiburg,1. Bundesliga,432
Gerard Piqué,Barcelona,1. La Liga,433
Maxime Gonalons,Granada,1. La Liga,434
Calum Chambers,Arsenal,1. Premier League,435
João Pedro,Watford,1. Premier League,436
Bryan Cristante,Roma,1. Serie A,437
Joan Jordán,Sevilla,1. La Liga,438
Jeffrey Schlupp,Crystal Palace,1. Premier League,439
Kasper Schmeichel,Leicester City,1. Premier League,440
Alfonso Pedraza,Betis,1. La Liga,441
Roberto Soldado,Granada,1. La Liga,442
Sadio Mané,Liverpool,1. Premier League,443
Giacomo Bonaventura,Milan,1. Serie A,444
Iago,Augsburg,1. Bundesliga,445
Phil Bardsley,Burnley,1. Premier League,446
Alessio Romagnoli,Milan,1. Serie A,447
Gianluca Caprari,Sampdoria,1. Serie A,448
Martín Montoya,Brighton,1. Premier League,449
Cristian Tello,Betis,1. La Liga,450
Jerry St. Juste,Mainz 05,1. Bundesliga,451
Wilfried Zaha,Crystal Palace,1. Premier League,452
Lucas Höler,Freiburg,1. Bundesliga,453
Daniel Wass,Valencia,1. La Liga,454
Frenkie de Jong,Barcelona,1. La Liga,455
Ruben Loftus-Cheek,Chelsea,1. Premier League,456
Morgan Gibbs-White,Wolves,1. Premier League,457
Unai López,Athletic Club,1. La Liga,458
Marvin Zeegelaar,Udinese,1. Serie A,459
Jaume Costa,Valencia,1. La Liga,460
Jesse Lingard,Manchester Utd,1. Premier League,461
Mattia Caldara,Atalanta,1. Serie A,462
Ilija Nestorovski,Udinese,1. Serie A,463
Ryan Fredericks,West Ham,1. Premier League,464
Roger Martí,Levante,1. La Liga,465
Sergio Córdova,Augsburg,1. Bundesliga,466
Jan Bednarek,Southampton,1. Premier League,467
Kristoffer Askildsen,Sampdoria,1. Serie A,468
Ashley Young,Manchester Utd,1. Premier League,469
Matthijs de Ligt,Juventus,1. Serie A,470
Giovanni Di Lorenzo,Napoli,1. Serie A,471
Gonzalo Escalante,Eibar,1. La Liga,472
Ciro Immobile,Lazio,1. Serie A,473
Andreas Pereira,Manchester Utd,1. Premier League,474
William Troost-Ekong,Udinese,1. Serie A,475
Gerard Moreno,Villarreal,1. La Liga,476
Manolo Gabbiadini,Sampdoria,1. Serie A,477
Karim Onisiwo,Mainz 05,1. Bundesliga,478
Rob Holding,Arsenal,1. Premier League,479
Marvin Plattenhardt,Hertha BSC,1. Bundesliga,480
Giuseppe Pezzella,Parma,1. Serie A,481
Tommaso Augello,Sampdoria,1. Serie A,482
Stefan Posch,Hoffenheim,1. Bundesliga,483
Alexander Schwolow,Freiburg,1. Bundesliga,484
Éder Militão,Real Madrid,1. La Liga,485
Ross Barkley,Chelsea,1. Premier League,486
Tanguy Ndombele,Tottenham,1. Premier League,487
Fabio Depaoli,Sampdoria,1. Serie A,488
Gian-Luca Itter,Freiburg,1. Bundesliga,489
Antonio Mirante,Roma,1. Serie A,490
Janik Haberer,Freiburg,1. Bundesliga,491
Raheem Sterling,Manchester City,1. Premier League,492
Federico Bonazzoli,Sampdoria,1. Serie A,493
William Carvalho,Betis,1. La Liga,494
Walace,Udinese,1. Serie A,495
Elseid Hysaj,Napoli,1. Serie A,496
Raúl Jiménez,Wolves,1. Premier League,497
Almamy Touré,Eint Frankfurt,1. Bundesliga,498
Lautaro Martínez,Inter,1. Serie A,499
Sergio Ramos,Real Madrid,1. La Liga,500
André Gomes,Everton,1. Premier League,501
Justin Kluivert,Roma,1. Serie A,502
Mehdi Bourabia,Sassuolo,1. Serie A,503
Ben Davies,Tottenham,1. Premier League,504
Jay Rodriguez,Burnley,1. Premier League,505
John Stones,Manchester City,1. Premier League,506
Issa Diop,West Ham,1. Premier League,507
Andrés Guardado,Betis,1. La Liga,508
Josh Sargent,Werder Bremen,1. Bundesliga,509
Nolito,Celta Vigo,1. La Liga,510
Yassine Bounou,Sevilla,1. La Liga,511
Amine Harit,Schalke 04,1. Bundesliga,512
Riqui Puig,Barcelona,1. La Liga,513
Santiago Arias,Atlético Madrid,1. La Liga,514
Denis Vavro,Lazio,1. Serie A,515
Nico Schlotterbeck,Freiburg,1. Bundesliga,516
Ezequiel Ávila,Osasuna,1. La Liga,517
Miguel,Valladolid,1. La Liga,518
Jetro Willems,Newcastle Utd,1. Premier League,519
Jordan Henderson,Liverpool,1. Premier League,520
Raúl García,Athletic Club,1. La Liga,521
Andrea Carboni,Cagliari,1. Serie A,522
Ola Aina,Torino,1. Serie A,523
Samuel Umtiti,Barcelona,1. La Liga,524
Stefano Okaka,Udinese,1. Serie A,525
Jack Cork,Burnley,1. Premier League,526
Omar Colley,Sampdoria,1. Serie A,527
Giangiacomo Magnani,Sassuolo,1. Serie A,528
Claudio Bravo,Manchester City,1. Premier League,529
Ethan Ampadu,RB Leipzig,1. Bundesliga,530
