id,season,country,comp_level,lg_finish,squad,age,games,games_starts,mnts,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90
19e4eab9,2019-2020,ITA,1. Serie A,13th,Udinese,23,29,24,2213,24.6,1,1,1,0,0,8,0,0.04,0.04,0.08,0.04
1ae30132,2019-2020,ENG,1. Premier League,10th,Burnley,34,21,21,1890,21,0,1,0,0,0,6,0,0,0.05,0.05,0
1ae836b1,2019-2020,GER,1. Bundesliga,14th,Köln,21,13,7,623,6.9,0,3,0,0,0,3,0,0,0.43,0.43,0
1ae836b1,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,21,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1b84dbe1,2019-2020,ENG,1. Premier League,12th,Everton,26,35,35,3030,33.7,0,7,0,0,0,6,0,0,0.21,0.21,0
1bacc518,2019-2020,ESP,1. La Liga,2nd,Barcelona,22,29,24,2115,23.5,2,2,2,0,0,3,1,0.09,0.09,0.17,0.09
1bda5842,2019-2020,ESP,1. La Liga,6th,Real Sociedad,27,35,25,2393,26.6,7,7,7,0,1,5,0,0.26,0.26,0.53,0.26
1bf33a9a,2019-2020,ENG,1. Premier League,4th,Chelsea,20,25,19,1722,19.1,9,4,9,0,0,0,0,0.47,0.21,0.68,0.47
1bf811d4,2019-2020,ENG,1. Premier League,20th,Norwich City,25,17,15,1293,14.4,0,0,0,0,0,4,0,0,0,0,0
1c7012b8,2019-2020,ENG,1. Premier League,16th,West Ham,20,38,38,3420,38,1,3,1,0,0,6,0,0.03,0.08,0.11,0.03
1cadaf34,2019-2020,ITA,1. Serie A,3rd,Atalanta,18,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0
1cb49278,2019-2020,ENG,1. Premier League,4th,Chelsea,23,21,21,1751,19.5,0,0,0,0,0,5,0,0,0,0,0
1cbe4984,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,24,5,4,380,4.2,0,1,0,0,0,3,0,0,0.24,0.24,0
1d0bb7e4,2019-2020,ITA,1. Serie A,3rd,Atalanta,19,7,3,280,3.1,0,0,0,0,0,1,0,0,0,0,0
