id,season,country,comp_level,lg_finish,squad,age,minutes_90s,tackles,tackles_won,pressures,pressure_regains,pressure_regain_pct,blocks,blocked_shots,blocked_shots_saves,interceptions,clearances,errors
7b075c75,2019-2020,ITA,1. Serie A,17th,Genoa,27,7.1,6,5,48,17,35.4,13,9,0,3,45,0
7b4de647,2019-2020,ITA,1. Serie A,6th,Milan,32,1.4,0,0,0,0,NULL,0,0,0,0,0,0
7b5ab7f2,2019-2020,ESP,1. La Liga,18th,Leganés,18,6.2,14,10,146,43,29.5,10,0,0,3,2,0
7b5ab7f2,2019-2020,ESP,1. La Liga,4th,Sevilla,18,0.7,1,1,18,4,22.2,0,0,0,0,0,0
7b5f516f,2019-2020,ITA,1. Serie A,3rd,Atalanta,28,0.1,0,0,0,0,NULL,0,0,0,0,0,0
7ba1f1ef,2019-2020,ITA,1. Serie A,3rd,Atalanta,20,0.2,0,0,7,4,57.1,2,0,0,0,0,0
7ba6d84e,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,28,38,0,0,1,0,0,0,0,0,0,1,2
7c104bb7,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,21,3.4,8,5,68,19,27.9,3,0,0,2,0,0
7c3ed041,2019-2020,GER,1. Bundesliga,2nd,Dortmund,20,1.5,2,1,18,3,16.7,0,0,0,5,5,0
7c473e12,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,28,27.1,34,20,212,69,32.5,44,32,3,47,193,3
7c56da38,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,21,21.4,29,22,428,149,34.8,37,3,0,18,12,0
7d2d3329,2019-2020,ENG,1. Premier League,5th,Leicester City,21,9.9,20,13,192,62,32.3,20,7,0,18,18,0
7d3e7da6,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,30,1,0,0,0,0,NULL,0,0,0,0,0,0
7d50454d,2019-2020,ITA,1. Serie A,14th,Cagliari,29,13.8,20,12,100,26,26,30,16,1,17,85,1
7dcf86f6,2019-2020,ESP,1. La Liga,17th,Celta Vigo,31,36.2,29,21,537,146,27.2,24,4,0,19,6,0
7eb97a8e,2019-2020,ITA,1. Serie A,12th,Bologna,27,25.2,34,20,458,125,27.3,28,1,0,12,10,0
7ec7738e,2019-2020,ITA,1. Serie A,14th,Cagliari,24,3.9,2,2,53,8,15.1,3,0,0,0,0,0
7ed4921e,2019-2020,ITA,1. Serie A,13th,Udinese,25,28.6,35,19,251,82,32.7,58,30,0,19,159,2
7edfbb8a,2019-2020,ENG,1. Premier League,4th,Chelsea,21,14.3,30,15,149,48,32.2,29,9,0,15,93,2
7f203b54,2019-2020,ESP,1. La Liga,8th,Getafe,27,3.4,2,2,23,12,52.2,3,0,0,2,18,0
7f267d66,2019-2020,ITA,1. Serie A,14th,Cagliari,23,0,0,0,0,0,NULL,0,0,0,0,1,0
7f267d66,2019-2020,ITA,1. Serie A,18th,Lecce,23,8,19,12,152,45,29.6,15,4,0,6,19,0
7f3b388c,2019-2020,ENG,1. Premier League,1st,Liverpool,25,23.1,77,53,428,139,32.5,36,2,0,25,34,0
7f4c7c9f,2019-2020,ESP,1. La Liga,12th,Levante,30,27,63,32,303,90,29.7,65,9,0,40,72,0
7f609bfc,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,22,25.6,84,42,342,106,31,82,26,0,28,133,0
