id,season,country,comp_level,lg_finish,squad,age,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,average_shot_distance,shots_free_kicks,pens_made,pens_att
5a4280b1,2019-2020,ENG,1. Premier League,10th,Burnley,28,6.3,0,2,0,0,0.32,0,0,10.5,0,0,0
5a626448,2019-2020,ESP,1. La Liga,5th,Villarreal,25,25.8,5,37,14,37.8,1.44,0.54,0.14,21,1,0,0
5a7301ae,2019-2020,ENG,1. Premier League,7th,Wolves,24,31.1,4,20,5,25,0.64,0.16,0.2,13.4,0,0,0
5aa53281,2019-2020,ITA,1. Serie A,5th,Roma,23,30.4,1,20,5,25,0.66,0.16,0.05,9.9,0,0,0
5aaef9ef,2019-2020,ITA,1. Serie A,11th,Parma,32,21.5,6,45,10,22.2,2.1,0.47,0.09,20.7,1,2,2
5ab0ea87,2019-2020,ESP,1. La Liga,2nd,Barcelona,31,27.6,2,10,4,40,0.36,0.14,0.2,15.6,0,0,0
5acc4a10,2019-2020,ENG,1. Premier League,19th,Watford,31,29.2,0,19,1,5.3,0.65,0.03,0,26.6,2,0,0
5bd72174,2019-2020,ITA,1. Serie A,8th,Sassuolo,31,32.6,21,72,33,45.8,2.21,1.01,0.26,13,0,2,2
5c2b4f07,2019-2020,ENG,1. Premier League,6th,Tottenham,26,30,1,13,4,30.8,0.43,0.13,0.08,18.7,0,0,0
5c397195,2019-2020,ITA,1. Serie A,8th,Sassuolo,23,4.3,1,11,2,18.2,2.58,0.47,0.09,18.6,0,0,0
5c4bf6ba,2019-2020,GER,1. Bundesliga,13th,Mainz 05,24,21.5,0,0,0,NULL,0,0,NULL,NULL,0,0,0
5c4dc0ff,2019-2020,ESP,1. La Liga,1st,Real Madrid,25,0.5,1,5,2,40,10,4,0.2,11.5,0,0,0
5c7845f6,2019-2020,ESP,1. La Liga,6th,Real Sociedad,22,29.3,0,14,1,7.1,0.48,0.03,0,27.6,0,0,0
5c96b017,2019-2020,ESP,1. La Liga,10th,Osasuna,26,24.3,8,52,19,36.5,2.14,0.78,0.13,19.7,9,1,1
5ca20b7a,2019-2020,ESP,1. La Liga,6th,Real Sociedad,27,28.3,0,8,2,25,0.28,0.07,0,25,0,0,0
5cbd1eb0,2019-2020,ENG,1. Premier League,14th,Crystal Palace,19,2.2,0,0,0,NULL,0,0,NULL,NULL,0,0,0
5cdddffa,2019-2020,ENG,1. Premier League,6th,Tottenham,22,11.2,2,9,4,44.4,0.8,0.36,0.22,25.4,0,0,0
5ce0b5ba,2019-2020,ESP,1. La Liga,6th,Real Sociedad,29,2.4,0,1,0,0,0.42,0,0,30,0,0,0
5ceba7fc,2019-2020,ESP,1. La Liga,5th,Villarreal,26,11,6,39,18,46.2,3.53,1.63,0.15,13.3,0,0,0
5cec2487,2019-2020,ENG,1. Premier League,15th,Brighton,28,21.1,0,8,3,37.5,0.38,0.14,0,16.6,0,0,0
5d4f7d61,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,23,14.4,10,49,18,36.7,3.4,1.25,0.2,10.9,1,0,0
5d8d7454,2019-2020,ENG,1. Premier League,17th,Aston Villa,24,22.7,0,8,3,37.5,0.35,0.13,0,22.1,0,0,0
5d8e331f,2019-2020,GER,1. Bundesliga,8th,Freiburg,29,30.9,1,26,3,11.5,0.84,0.1,0.04,17.4,0,0,0
5ddb8f9f,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,26,15.4,1,16,4,25,1.04,0.26,0.06,16.4,0,0,0
5dfc6ad5,2019-2020,GER,1. Bundesliga,2nd,Dortmund,30,24.9,4,28,7,25,1.12,0.28,0.14,19.1,0,0,0
5e861944,2019-2020,ITA,1. Serie A,2nd,Inter,25,2.9,0,16,4,25,5.56,1.39,0,20.2,2,0,0
5e861944,2019-2020,ITA,1. Serie A,7th,Napoli,25,8.3,2,19,8,42.1,2.3,0.97,0.11,18.5,0,0,0
5ea8ef20,2019-2020,ENG,1. Premier League,8th,Arsenal,20,19.4,0,11,5,45.5,0.57,0.26,0,21.7,0,0,0
5eae500a,2019-2020,ITA,1. Serie A,2nd,Inter,26,33.1,23,95,41,43.2,2.87,1.24,0.18,13.9,1,6,6
5ed9b537,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,20,6.3,0,1,0,0,0.16,0,0,6.3,0,0,0
5eecec3d,2019-2020,ENG,1. Premier League,2nd,Manchester City,25,12.5,0,6,1,16.7,0.48,0.08,0,7.9,0,0,0
5efc5389,2019-2020,ITA,1. Serie A,14th,Cagliari,25,14.9,0,14,3,21.4,0.94,0.2,0,28.2,4,0,0
5fa57166,2019-2020,ITA,1. Serie A,9th,Hellas Verona,19,0.1,0,0,0,NULL,0,0,NULL,NULL,0,0,0
5fd5ed86,2019-2020,ITA,1. Serie A,16th,Torino,22,25.2,3,11,6,54.5,0.44,0.24,0.27,10,0,0,0
601ef102,2019-2020,ITA,1. Serie A,13th,Udinese,29,26.8,8,59,14,23.7,2.2,0.52,0.14,12.6,0,0,0
6025fab1,2019-2020,ESP,1. La Liga,1st,Real Madrid,33,22.2,3,30,13,43.3,1.35,0.59,0.1,21.6,0,0,0
603116a7,2019-2020,ESP,1. La Liga,1st,Real Madrid,31,14.4,1,17,6,35.3,1.18,0.42,0.06,22.5,0,0,0
603cb947,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,28,15.8,12,40,20,50,2.53,1.27,0.25,14.3,3,2,2
605eb473,2019-2020,ESP,1. La Liga,19th,Mallorca,34,36,0,0,0,NULL,0,0,NULL,NULL,0,0,0
610aa1e9,2019-2020,GER,1. Bundesliga,18th,Paderborn 07,19,14,0,1,0,0,0.07,0,0,8,0,0,0
61220da2,2019-2020,ESP,1. La Liga,12th,Levante,26,35.1,2,44,8,18.2,1.25,0.23,0.05,21.7,5,0,0
61b3978f,2019-2020,ITA,1. Serie A,15th,Sampdoria,27,26.7,0,17,1,5.9,0.64,0.04,0,27.5,0,0,0
61b62b33,2019-2020,ESP,1. La Liga,7th,Granada,24,13.5,3,17,5,29.4,1.26,0.37,0.12,27.4,12,1,1
6213fd82,2019-2020,ITA,1. Serie A,20th,SPAL,24,21.4,0,19,5,26.3,0.89,0.23,0,15.8,0,0,0
62437b4f,2019-2020,ITA,1. Serie A,13th,Udinese,23,3.8,1,10,4,40,2.64,1.06,0.1,16.9,0,0,0
62437b4f,2019-2020,ENG,1. Premier League,19th,Watford,23,0.8,0,0,0,NULL,0,0,NULL,NULL,0,0,0
6250083a,2019-2020,ENG,1. Premier League,6th,Tottenham,18,0.9,0,0,0,NULL,0,0,NULL,NULL,0,0,0
