id,season,country,comp_level,lg_finish,squad,age,minutes_90s,cards_yellow,cards_red,fouls,fouled,offsides,crosses,aerials_won,aerials_won_pct
914ab9a1,2019-2020,ENG,1. Premier League,19th,Watford,28,25,3,2,25,17,0,0,60,57.7
919dd4b1,2019-2020,ITA,1. Serie A,4th,Lazio,16,0,0,0,0,0,0,0,0,0
921f6058,2019-2020,ITA,1. Serie A,3rd,Atalanta,29,27.6,5,0,56,22,1,7,83,68
9228b07c,2019-2020,ENG,1. Premier League,12th,Everton,21,22.5,8,0,37,44,1,4,34,52.3
92432bc6,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,21,8.4,1,0,20,6,1,7,15,46.9
924f9191,2019-2020,GER,1. Bundesliga,11th,Union Berlin,24,10.3,2,0,21,28,1,1,10,52.6
92948149,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,23,20.9,5,0,35,26,3,26,28,54.9
92b4758e,2019-2020,ITA,1. Serie A,13th,Udinese,24,17.2,3,0,21,23,1,5,32,59.3
92d83c27,2019-2020,ITA,1. Serie A,12th,Bologna,20,11.7,2,0,21,33,1,5,16,53.3
92e7e919,2019-2020,ENG,1. Premier League,6th,Tottenham,27,27.5,0,2,19,33,17,29,8,19
93090f69,2019-2020,ESP,1. La Liga,7th,Granada,24,34.3,7,0,38,22,4,5,87,64.9
9328b835,2019-2020,ENG,1. Premier League,16th,West Ham,34,23.5,1,0,1,2,0,0,0,NULL
933d3b51,2019-2020,ITA,1. Serie A,16th,Torino,26,9.5,0,0,9,2,0,0,11,47.8
935e6b8f,2019-2020,ENG,1. Premier League,1st,Liverpool,29,24.9,2,0,35,15,0,48,25,71.4
93a50d2c,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,24,11.1,0,0,11,11,0,0,22,61.1
93b891d1,2019-2020,ITA,1. Serie A,4th,Lazio,30,15.6,7,0,31,29,8,2,24,30.8
93cf32a8,2019-2020,ITA,1. Serie A,16th,Torino,29,29.9,6,1,41,28,0,0,65,66.3
9413b19f,2019-2020,ITA,1. Serie A,7th,Napoli,22,21.7,0,0,0,4,0,0,0,NULL
94816803,2019-2020,ITA,1. Serie A,10th,Fiorentina,20,5.7,3,0,12,29,2,18,4,44.4
94b2001f,2019-2020,ITA,1. Serie A,1st,Juventus,28,16,4,1,22,17,2,20,17,56.7
94c18565,2019-2020,GER,1. Bundesliga,14th,Köln,26,17.3,5,0,20,37,1,86,6,22.2
952a03fe,2019-2020,ITA,1. Serie A,13th,Udinese,32,16.7,1,0,12,9,3,6,41,56.9
9591723b,2019-2020,ITA,1. Serie A,3rd,Atalanta,18,0,0,0,0,0,0,0,0,NULL
9592289a,2019-2020,ITA,1. Serie A,16th,Torino,28,18.2,7,0,63,37,10,9,56,39.7
95facda1,2019-2020,ITA,1. Serie A,14th,Cagliari,23,32.2,14,0,52,56,7,85,26,28.3
962e54cb,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,24,14.3,4,0,28,26,10,17,44,41.9
963829d0,2019-2020,ESP,1. La Liga,5th,Villarreal,27,17.2,6,0,37,39,0,7,15,34.1
96640846,2019-2020,ITA,1. Serie A,16th,Torino,31,1,0,0,0,0,0,0,0,NULL
9674002f,2019-2020,ENG,1. Premier League,4th,Chelsea,20,31.9,3,0,40,56,4,66,14,26.4
967f34d3,2019-2020,ESP,1. La Liga,17th,Celta Vigo,24,32.9,4,0,1,6,0,0,0,NULL
96e0490d,2019-2020,ITA,1. Serie A,11th,Parma,29,29.8,6,0,44,50,3,45,33,50
970b8574,2019-2020,ITA,1. Serie A,9th,Hellas Verona,21,5.8,1,0,9,7,2,26,3,42.9
970b8574,2019-2020,ITA,1. Serie A,2nd,Inter,21,0.3,0,0,1,0,0,0,0,0
97220da2,2019-2020,ENG,1. Premier League,4th,Chelsea,17,0.1,0,0,0,1,0,0,0,0
97333cf5,2019-2020,ENG,1. Premier League,11th,Southampton,27,19.1,4,0,26,22,4,14,10,25.6
97572117,2019-2020,ESP,1. La Liga,8th,Getafe,31,26.9,13,2,64,23,3,68,39,56.5
97852360,2019-2020,ESP,1. La Liga,16th,Alavés,27,26.2,0,1,0,0,0,0,0,NULL
983ff2c7,2019-2020,ITA,1. Serie A,10th,Fiorentina,24,9.5,4,0,18,12,0,19,11,61.1
984a5a64,2019-2020,ENG,1. Premier League,11th,Southampton,22,7.8,1,0,9,23,1,8,3,16.7
984a5a64,2019-2020,ENG,1. Premier League,6th,Tottenham,22,2.7,0,0,1,7,1,4,2,33.3
989d5705,2019-2020,ENG,1. Premier League,10th,Burnley,27,21.5,8,0,23,18,4,10,21,46.7
98d2c2c4,2019-2020,ITA,1. Serie A,3rd,Atalanta,27,26,3,0,51,39,0,25,14,37.8
9907b1c8,2019-2020,ITA,1. Serie A,5th,Roma,20,16.7,8,0,50,44,3,25,8,28.6
9939e168,2019-2020,ESP,1. La Liga,10th,Osasuna,21,16.6,4,0,28,7,0,8,24,45.3
9970da54,2019-2020,ESP,1. La Liga,16th,Alavés,22,3,1,0,1,0,0,0,0,NULL
997fff07,2019-2020,ITA,1. Serie A,7th,Napoli,22,5.9,2,0,7,2,0,4,6,35.3
99813635,2019-2020,ENG,1. Premier League,1st,Liverpool,31,4.2,1,0,8,11,1,5,7,38.9
99be8fb5,2019-2020,GER,1. Bundesliga,11th,Union Berlin,28,10.5,0,0,19,5,9,7,59,47.2
99bebd12,2019-2020,ESP,1. La Liga,16th,Alavés,27,1.1,0,0,0,2,0,0,1,50
99de6b6f,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,30,23,6,2,26,31,1,3,66,68.8
9a104dee,2019-2020,ENG,1. Premier League,14th,Crystal Palace,28,2,0,0,3,4,1,1,5,23.8
9a104dee,2019-2020,ENG,1. Premier League,12th,Everton,28,3.2,0,0,4,4,1,2,7,31.8
9a28eba4,2019-2020,ENG,1. Premier League,7th,Wolves,23,28.9,1,0,48,101,5,148,48,48.5
9a2e0ccc,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,27,12.7,1,0,15,20,1,11,7,31.8
9a64e67e,2019-2020,ESP,1. La Liga,6th,Real Sociedad,22,26.6,6,0,30,25,0,2,91,64.5
9a9c05db,2019-2020,ENG,1. Premier League,10th,Burnley,30,17,2,0,18,11,0,28,24,63.2
9ab16552,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,35,21.9,3,0,11,30,0,1,28,49.1
