id,season,country,comp_level,lg_finish,squad,age,games,mnts,minutes_per_game,minutes_pct,minutes_90s,games_starts,games_complete,games_subs,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_wowy
b8a642fc,2019-2020,ESP,1. La Liga,5th,Villarreal,20,37,2048,55,59.9,22.8,20,10,17,0,1.54,36,35,1,-0.81
b8c1de25,2019-2020,ESP,1. La Liga,7th,Granada,30,19,1506,79,44,16.7,17,12,2,3,1.42,19,21,-2,-0.54
b96b595c,2019-2020,ITA,1. Serie A,4th,Lazio,31,36,3162,88,92.5,35.1,36,32,0,1,2,74,38,36,0.68
b9fbae28,2019-2020,ENG,1. Premier League,4th,Chelsea,28,22,1732,79,50.6,19.2,20,17,2,0,1.27,28,25,3,-0.48
ba3d3bea,2019-2020,ITA,1. Serie A,4th,Lazio,24,21,592,28,17.3,6.6,3,0,18,12,2.1,18,7,11,0.84
ba5004e1,2019-2020,ESP,1. La Liga,8th,Getafe,31,30,2592,86,75.8,28.8,30,24,0,2,1.53,37,26,11,0.93
bad38a94,2019-2020,ESP,1. La Liga,20th,Espanyol,30,30,2492,83,72.9,27.7,28,24,2,5,0.77,19,41,-22,0.08
bb5fbd2b,2019-2020,ENG,1. Premier League,15th,Brighton,25,19,1143,60,33.4,12.7,11,3,8,6,0.89,15,15,0,0.59
bba30585,2019-2020,ESP,1. La Liga,6th,Real Sociedad,25,29,2327,80,68,25.9,27,22,2,2,1.28,37,32,5,-0.05
bbafc0c4,2019-2020,ITA,1. Serie A,16th,Torino,32,27,1768,65,51.7,19.6,21,11,6,2,1,26,31,-5,0.67
bbd86530,2019-2020,GER,1. Bundesliga,11th,Union Berlin,24,26,2267,87,74.1,25.2,26,24,0,0,1.15,32,44,-12,0.09
bc61cc65,2019-2020,ESP,1. La Liga,10th,Osasuna,31,22,1082,49,31.6,12,11,8,11,6,1.45,13,23,-10,-0.91
bc6f5f06,2019-2020,ESP,1. La Liga,4th,Sevilla,27,13,717,55,21,8,8,6,5,8,2,12,9,3,-0.19
bc7dc64d,2019-2020,ENG,1. Premier League,8th,Arsenal,17,26,1753,67,51.3,19.5,19,10,7,6,1.42,22,18,4,-0.01
bcb2ccd8,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,29,32,2880,90,94.1,32,32,32,0,0,1.88,76,34,42,0.31
bcfb0142,2019-2020,ENG,1. Premier League,10th,Burnley,26,0,NULL,NULL,NULL,NULL,0,0,0,11,NULL,NULL,NULL,NULL,NULL
bd142efb,2019-2020,GER,1. Bundesliga,5th,Leverkusen,23,25,2092,84,68.4,23.2,22,21,3,6,2,41,27,14,0.32
bd527260,2019-2020,GER,1. Bundesliga,14th,Köln,26,13,849,65,27.7,9.4,9,4,4,12,0.62,10,23,-13,-1.17
bd6351cd,2019-2020,ENG,1. Premier League,2nd,Manchester City,25,17,1208,71,35.3,13.4,13,12,4,17,2.18,35,11,24,0.04
bd992863,2019-2020,GER,1. Bundesliga,2nd,Dortmund,19,1,26,26,0.8,0.3,0,0,1,10,0,0,0,0,-1.28
bdb624a3,2019-2020,ESP,1. La Liga,11th,Athletic Club,19,17,741,44,21.7,8.2,9,0,8,4,1.65,11,7,4,0.52
bdc74a8f,2019-2020,ITA,1. Serie A,5th,Roma,21,9,299,33,8.7,3.3,2,2,7,8,2,10,5,5,0.9
be170419,2019-2020,ESP,1. La Liga,11th,Athletic Club,22,20,1572,79,46,17.5,16,16,4,17,0.9,12,22,-10,-1.21
be42a291,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,20,5,58,12,1.9,0.6,0,0,5,13,2.2,1,2,-1,-2.9
be927d03,2019-2020,ITA,1. Serie A,2nd,Inter,34,18,1185,66,34.6,13.2,13,7,5,0,1.94,29,17,12,-0.42
be927d03,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,34,12,955,80,27.9,10.6,10,9,2,8,1.5,12,10,2,-0.83
beb882a8,2019-2020,GER,1. Bundesliga,16th,Werder Bremen,22,32,2855,89,93.3,31.7,32,31,0,0,0.88,40,65,-25,0.09
bece776f,2019-2020,ESP,1. La Liga,15th,Betis,26,32,2638,82,77.1,29.3,31,19,1,0,0.94,33,49,-16,-1.01
bee0bab1,2019-2020,GER,1. Bundesliga,5th,Leverkusen,29,26,1424,55,46.5,15.8,17,6,9,2,1.81,29,20,9,0.13
bee704fc,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,37,3258,88,95.3,36.2,36,36,1,0,1.32,50,44,6,1.83
bf075f6b,2019-2020,GER,1. Bundesliga,8th,Freiburg,22,21,1162,55,38,12.9,15,1,6,11,1.14,16,17,-1,-0.17
bf12926c,2019-2020,ESP,1. La Liga,15th,Betis,19,15,348,23,10.2,3.9,2,0,13,14,1.07,10,8,2,0.93
bf309d24,2019-2020,ITA,1. Serie A,5th,Roma,22,22,1518,69,44.4,16.9,19,11,3,6,1.95,35,20,15,0.37
bf356094,2019-2020,ITA,1. Serie A,3rd,Atalanta,19,5,82,16,2.4,0.9,0,0,5,14,2,2,2,0,-1.35
bf39bdec,2019-2020,ITA,1. Serie A,19th,Brescia,27,25,1844,74,53.9,20.5,22,11,3,0,0.68,21,46,-25,-0.14
bf57eaab,2019-2020,ITA,1. Serie A,15th,Sampdoria,22,19,744,39,21.8,8.3,7,0,12,13,1.11,15,10,5,1.34
bf8fad51,2019-2020,ENG,1. Premier League,17th,Aston Villa,24,18,1545,86,45.2,17.2,17,17,1,2,0.72,14,34,-20,-0.88
bfae110f,2019-2020,ENG,1. Premier League,17th,Aston Villa,22,21,1782,85,52.1,19.8,21,13,0,0,1,26,31,-5,0.9
bfb15d99,2019-2020,ESP,1. La Liga,12th,Levante,23,2,180,90,5.3,2,2,2,0,14,3,4,2,2,1.22
bfd381b3,2019-2020,ESP,1. La Liga,19th,Mallorca,23,36,2903,81,84.9,32.3,35,21,1,1,0.92,37,55,-18,0.66
