id,season,country,comp_level,lg_finish,squad,age,minutes_90s,sca,sca_per90,gca,gca_per90
1840e36d,2019-2020,ESP,1. La Liga,1st,Real Madrid,27,34,1,0.03,0,0
1880614f,2019-2020,ITA,1. Serie A,5th,Roma,22,9.7,48,4.95,2,0.21
18abe173,2019-2020,ESP,1. La Liga,17th,Celta Vigo,23,27.8,13,0.47,2,0.07
18b896d6,2019-2020,ENG,1. Premier League,4th,Chelsea,26,19,9,0.47,0,0
1900032e,2019-2020,ENG,1. Premier League,11th,Southampton,26,16.6,6,0.36,1,0.06
1961b2aa,2019-2020,ENG,1. Premier League,12th,Everton,26,16.2,29,1.79,2,0.12
19709006,2019-2020,ESP,1. La Liga,18th,Leganés,21,21.3,69,3.24,5,0.24
197640fd,2019-2020,ITA,1. Serie A,3rd,Atalanta,23,19.7,45,2.29,7,0.36
19b776e9,2019-2020,ESP,1. La Liga,9th,Valencia,27,1.9,6,3.18,0,0
19e4eab9,2019-2020,ITA,1. Serie A,13th,Udinese,23,24.6,10,0.41,2,0.08
1ae30132,2019-2020,ENG,1. Premier League,10th,Burnley,34,21,20,0.95,1,0.05
