id,season,country,comp_level,lg_finish,squad,age,minutes_90s,touches,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,pass_targets
bc61cc65,2019-2020,ESP,1. La Liga,10th,Osasuna,31,12,697,109,417,200,7,8,10,80,13,10,494
bc6f5f06,2019-2020,ESP,1. La Liga,4th,Sevilla,27,8,557,333,246,11,3,1,1,100,0,0,411
bc7dc64d,2019-2020,ENG,1. Premier League,8th,Arsenal,17,19.5,1069,271,470,405,61,31,48,64.6,32,37,835
bcb2ccd8,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,29,32,1347,1330,21,0,0,1,1,100,1,0,700
bd142efb,2019-2020,GER,1. Bundesliga,5th,Leverkusen,23,23.2,2298,1215,1200,66,10,13,16,81.3,1,7,1703
bd527260,2019-2020,GER,1. Bundesliga,14th,Köln,26,9.4,372,76,147,170,35,11,20,55,30,11,376
bd6351cd,2019-2020,ENG,1. Premier League,2nd,Manchester City,25,13.4,1295,252,722,413,33,46,63,73,11,13,970
bd992863,2019-2020,GER,1. Bundesliga,2nd,Dortmund,19,0.3,17,3,9,6,0,0,0,NULL,0,1,12
bdb624a3,2019-2020,ESP,1. La Liga,11th,Athletic Club,19,8.2,313,36,163,136,20,17,28,60.7,25,21,309
bdc74a8f,2019-2020,ITA,1. Serie A,5th,Roma,21,3.3,177,51,106,30,3,7,7,100,4,4,144
be170419,2019-2020,ESP,1. La Liga,11th,Athletic Club,22,17.5,874,488,415,26,12,6,7,85.7,6,4,536
be42a291,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,20,0.6,36,5,15,18,0,0,1,0,3,1,41
be927d03,2019-2020,ITA,1. Serie A,2nd,Inter,34,13.2,759,188,306,309,42,12,18,66.7,10,8,547
be927d03,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,34,10.6,836,194,442,239,11,8,17,47.1,5,3,508
beb882a8,2019-2020,GER,1. Bundesliga,16th,Werder Bremen,22,31.7,1831,380,1054,514,45,21,44,47.7,32,36,1418
bece776f,2019-2020,ESP,1. La Liga,15th,Betis,26,29.3,1524,153,784,732,147,84,127,66.1,68,74,1486
bee0bab1,2019-2020,GER,1. Bundesliga,5th,Leverkusen,29,15.8,933,94,404,537,95,50,87,57.5,27,41,881
bee704fc,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,36.2,2115,1086,1051,145,34,7,8,87.5,16,11,1388
bf075f6b,2019-2020,GER,1. Bundesliga,8th,Freiburg,22,12.9,540,73,244,265,49,28,48,58.3,28,32,546
bf12926c,2019-2020,ESP,1. La Liga,15th,Betis,19,3.9,182,13,79,120,18,18,27,66.7,10,12,182
bf309d24,2019-2020,ITA,1. Serie A,5th,Roma,22,16.9,1111,276,760,161,6,10,10,100,3,4,834
bf356094,2019-2020,ITA,1. Serie A,3rd,Atalanta,19,0.9,68,8,23,43,12,4,5,80,4,5,62
bf39bdec,2019-2020,ITA,1. Serie A,19th,Brescia,27,20.5,855,70,394,450,105,35,66,53,73,55,1093
bf57eaab,2019-2020,ITA,1. Serie A,15th,Sampdoria,22,8.3,341,28,154,192,39,10,18,55.6,21,15,408
bf8fad51,2019-2020,ENG,1. Premier League,17th,Aston Villa,24,17.2,1024,604,432,46,27,11,14,78.6,6,14,549
bfae110f,2019-2020,ENG,1. Premier League,17th,Aston Villa,22,19.8,599,45,290,293,96,14,22,63.6,61,30,874
bfb15d99,2019-2020,ESP,1. La Liga,12th,Levante,23,2,67,67,1,0,0,0,0,NULL,0,0,19
bfd381b3,2019-2020,ESP,1. La Liga,19th,Mallorca,23,32.3,1614,530,1033,163,15,46,54,85.2,25,40,1016
bfdb33aa,2019-2020,ENG,1. Premier League,19th,Watford,21,22.5,929,115,360,557,114,53,102,52,65,59,1052
c00097d2,2019-2020,ESP,1. La Liga,12th,Levante,24,2.1,101,60,43,1,0,2,2,100,0,0,72
c05dfb74,2019-2020,ESP,1. La Liga,11th,Athletic Club,26,26.5,1358,136,766,578,70,54,93,58.1,41,46,1240
c0617e2b,2019-2020,ENG,1. Premier League,8th,Arsenal,22,18.8,1492,347,885,399,21,29,41,70.7,12,25,1134
c067631c,2019-2020,ENG,1. Premier League,16th,West Ham,26,24.9,1382,442,603,416,32,13,29,44.8,20,16,800
c0c7ff58,2019-2020,ITA,1. Serie A,7th,Napoli,23,29.8,2649,435,1597,793,54,30,43,69.8,33,34,2322
c14bc029,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,34.1,2170,515,1310,463,64,24,37,64.9,40,33,1549
c17bfb65,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,22,29.8,1224,129,686,474,109,48,74,64.9,127,82,1573
c18d22f5,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,32,8.5,524,194,221,134,9,7,11,63.6,7,3,333
c1949191,2019-2020,ENG,1. Premier League,12th,Everton,17,3.3,243,139,117,2,0,0,0,NULL,1,0,183
c1b7847c,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,22,23.5,1593,318,1041,348,19,35,51,68.6,31,24,1143
c2009df3,2019-2020,GER,1. Bundesliga,14th,Köln,29,27,1589,463,894,322,51,11,18,61.1,23,21,1089
c2111b45,2019-2020,ESP,1. La Liga,7th,Granada,22,7,282,179,111,5,2,1,1,100,0,1,171
c2111b45,2019-2020,ENG,1. Premier League,7th,Wolves,22,1.8,124,61,64,6,1,1,1,100,1,1,90
c2211709,2019-2020,GER,1. Bundesliga,14th,Köln,24,29.7,1739,515,1016,314,35,31,40,77.5,28,38,1124
c235e803,2019-2020,ITA,1. Serie A,6th,Milan,19,7.6,504,282,234,16,5,0,0,NULL,1,2,340
c316607a,2019-2020,ITA,1. Serie A,8th,Sassuolo,29,7.9,574,304,303,11,4,2,2,100,3,5,411
